アベック,romantic couple [avec (meaning 'with')]
アフターサービス,"customer service, user support, after care, service [after service]"
アイドル,"(teen) idol, pop star [idol]"
アイス,"ice, also used as a shortened form of ice cream [ice/Eis]"
アイスクリーム,ice cream [ice cream]
アイゼン,crampons [(Steig)eisen (meaning 'climbing iron' or 'crampon')]
アメフト,American football [Ame(rican) foot(ball)]
アメリカンドッグ,corn dog [American dog]
アニメ,"animation, animated cartoons or films (although anime has been reborrowed into English with a meaning of ""Japanese animation"", in Japanese the term refers to all animation) [anima(tion)]"
アニソン,"an anime song, most often the theme [ani(me) + son(g)]"
アンケート,"questionnaire, survey [enquête]"
アンニュイ,"ennui, boredom [ennui]"
アンサー,"reply to a question, solution to a problem [answer]"
アパート,"apartment (US), flat (UK), though apāto are usually in small two-story wood-structure buildings, not multistory complexes as in the US usage [apart(ment)]"
アポ,appointment [appo(intment)]
〜アップ,"to upgrade or improve (something). Coupled with English or pseudo-English nouns that indicate what that something is; e.g., version-up: upgrade (software), buy the next-better version or model of something, improve the appearance of something; image-up: improve the image of, improve one's outward appearance; ""weight-up"": to gain weight; manner-up: improve one's manners, learn (proper/better) manners or etiquette; power-up: an object that instantly benefits or adds extra abilities to a video game character; base-up, level-up: take to the next or a higher (basic) level of quality; also base-up (frequently abbreviated bea): to raise the base wage of the workers [up(grade)]"
アロエ,aloe [Aloë]
アルバイト or バイト,part-time job [Arbeit (meaning 'work')]
アールブイ,"truck, van, SUV, Recreational Vehicle　 [RV]"
アルコール,"alcohol, alcoholic beverage [alcohol, álcool]"
アウトコース,outside [out course]
バーゲン,a sale at a store [bargain]
バイク,"a motorcycle, but not a bicycle [bike]"
バカンス,"holiday, vacation [vacances]"
ブックカバー,dust jacket [book cover]
バックミラー,rear-view mirror [back mirror]
バックナンバー,back issue [back number]
バックネット,a backstop (in baseball) [back net]
バリアフリー,Accessible facilities for handicapped persons [barrier free]
バリカン,Hand or electric operating hair trimmer [Bariquand & Marre]
バスジャック,"a bus hijacking (possibly based on the English term ""carjack"") [bus (hi)jack]"
バター,"butter, sometimes used on food packaging to refer to margarine [butter]"
バッティング,"Swing the bat in baseball; or, to project forward or propose competitively on business or others by two or more parties, like ""butting heads"" by animals. [batting or butting]"
ベビーカー,"stroller (US), pushchair or pram (UK) [baby car]"
ベッドタウン,"bedroom suburbs, bedroom community, dormitory suburb, commuter town [bed town]"
ビー玉,"marbles [vi(dro) (glass) + 玉 (dama, ball)]"
ビジネスホテル,budget hotel [business hotel]
ビロード,velvet [veludo]
ビル,building (especially modern steel / concrete buildings) [buil(ding)]
ビール,beer [bier]
ボンベ,"a steel canister for storing pressurized gas, such as a propane tank [Bombe]"
ボールペン,a ballpoint pen [ball(point) pen]
ボタン,button [botão]
ブランコ,a swing [balanço]
ブラセラ or ブルセラ,"panty fetishism, especially with teenage girls wearing school outfits (""sailor suits"") and bloomers. [bloo(mer) sailor]"
ブレザー,"blazer, or a Japanese school uniform that includes that garment. It usually has buttons down the front and a vest under it with a white collared shirt. [blazer]"
ブルマ,"short pants worn for exercise by girls, usually in PE class in high school [bloomers]"
キャビンアテンダント,A flight attendant [Cabin attendant]
チェリーボーイ,A male virgin [cherry boy]
チアガール,(female) cheerleader [cheer girl]
チアマン,(male) cheerleader [cheer man]
チアリーダー,cheerleader [cheerleader]
チアリーディング,cheerleading [cheerleading]
チケット,ticket [ticket]
チンキ,tincture [tinktuur]
チューハイ or 酎ハイ,a kind of alcoholic drink originating from Japan [(焼)酎 ((Shō)chū) + high(ball)]
コラボ,A term for when two separate entities come together and make something [Collab(orations)]
コンピューター or コンピュータ,computer [computer]
"ダブル(noun), ダブる(intransitive verb). Sometimes ""W""","(noun and adjective) double; double-breasted (jacket), or turn-ups (cuffs) on trousers; (verb) to be redundant or doubled [double]"
ダンプカー,"dump truck (US), dumper (UK) [dump car]"
ダストボックス,"rubbish bin (UK), garbage can (US) [dust box]"
ダウンロードオンリーメンバー,a computing leech [download only member]
〜ティック or 〜⁠チック,"~esque, attached to a noun. For example, a product with cute character illustrations may be considered ""Akihabara-chikku"". [the ""-tic"" suffix, as in (roman)tic, (drama)tic]"
デッドボール,hit by a pitch [dead ball]
デコレーションケーキ,a fancy cake [decoration cake]
電子レンジ or レンジ,"a microwave oven [電子 (denshi, electronic) + range]"
デパート,department store [depart(ment store)]
デパ地下,"a shopping area, often focused on food and located adjacent to train stations, found in major cities in Japan [de(partment store) +　地下 (chika, underground)[1]]"
デリバリーヘルス,"a form of prostitution, essentially a call girl or escort service [delivery health]"
デッサン,drawing [dessin]
デスク,"an editor for a certain section of a publication, derived from the English custom of calling the job a desk, as in ""the sports desk"" [desk]"
ドイツ,"Germany [Duits(land), Deutsch(land)]"
ドクター ストップ,when the doctor tells a patient to stop doing something [doctor stop]
ドンマイ,"""don't worry about it"", ""don't pay (that) any mind"", ""it's/I'm OK"", ""no problem"". Frequently used when something goes wrong [don('t) mi(nd)]"
ドライバー,"a screwdriver, motor vehicle driver [driver]"
ドライブイン,"rest area, motor lodge, drive-in [drive in]"
ドラマ,"TV drama, soap opera [drama]"
ドリフト,"drifting, in the sense of a car in the controlled skid used in drifting [drift]"
エアコン,air conditioning or air conditioner [air con(ditioning) or air con(ditioner)]
AV,"adult video, audio visual (audio video) [wasei-eigo AV]"
エキス,extract [ex(tract)]
エネルギッシュ,energetic [energisch]
エンスト,stall (as in an automobile engine) [en(gine) sto(p)]
エレベーター,"elevator (American English), lift (British English) [elevator]"
エロ,erotic [ero(s)]
エログ,erotic / adult oriented blog [ero(tic) + (b)log]
エログロ,"a loosely defined artistic movement featuring ""erotic grotesque nonsense"" that emerged in Japan in the early 20th century [ero(tic) gro(tesque)]"
エール,(1) to cheer on a player in a sports competition; (2) to express support for a candidate in an election [yell]
LLC,"antifreeze coolants [acronym for ""long life coolant""]"
エスカレーター,escalator [escalator]
エステ,"beauty salon, esthetic clinic [esthé(tique)]"
エッチ,"dirty, naughty; sex (the etymology of etchi is still debated by Japanese linguists) [H (likely from the first letter of hentai)]"
ファイナル,last [final]
ファイト,"often used to mean ""Do your best!"" or ""I'll do my best."" [fight]"
ファミコン,the Nintendo Entertainment System. Also used as a catch-all term by the older generation for any gaming console. [fami(ly) com(puter)]
ファンファーレ,a musical fanfare [fanfare]
ファンタジック,fantastic [fantasy + -ic]
ファッションヘルス,a form of brothel [fashion health]
フェッチ,(Computer Jargon) To fetch an instruction from main memory when a microprocessor executes a command [fetch]
～フェチ,fetish (typically a sexual fetish but sometimes just referring to a distinctive preference) [feti(sh)]
フォアボール,"walk, base on, ball four [four ball]"
フライ,fly ball (baseball term) [fly]
フライ,Deep frying [fry]
フライドポテト,"french fries (US), chips (UK) [fried potato]"
フライング(スタート),"premature start, breakaway [flying (start)]"
フリーダイアル or フリーダイヤル,toll free call [free dial]
フリーサイズ,one-size-fits-all [free size]
フリーター,"underemployed young adults, people who opt to work (a series of) part-time jobs rather than engage in permanent employment [free + contraction of Arbeiter (or free + time)]"
フロント,"the reception desk, e.g. at a hotel or a sentō [front (desk)]"
フロントガラス,"windshield (US), windscreen (UK) [front glass]"
ガードマン,"a (private) security guard, a person who directs traffic around work sites [guard man]"
ガラス or 硝子,glass (material) [glas or glass]
ガソリンスタンド,"gas station (US), petrol station (UK) [gasoline stand]"
ガッツポーズ,"fist pump, victory pose [guts pose]"
ガーゼ,gauze [Gaze]
ゲームセンター or ゲーセン,video arcade [game centre]
ゲレンデ,ski slope [Gelände (meaning 'site; ground; premises')]
ギブ(アップ),To give up [give (up)]
ギプス or ギブス,"cast (sometimes gipusu means a plaster cast, while gibusu refers to a plastic brace) [Gips]"
ゴム,"rubber, eraser, rubber band [gom]"
ゴールデンアワー or ゴールデンタイム,prime time in Japanese television [golden hour or golden time]
ゴールデンウィーク or ゴールデンウイーク,"A week of holidays in Japan, Golden Week. [golden week]"
ググる,to google [goog(le) + -ru (Japanese verb ending)]
グラス,drinking glass [glass]
グロ,grotesque [gro(tesque)]
ギャラリー,"an art gallery, audience, or a pool of celebrities on a program. [gallery]"
ハイカラ,"In 1920s slang, ""haikara"" referred to a person who was devoted to Western fashions, trends and values. See also the popular 1970s manga and anime, Haikara-san ga Tōru (""Here Comes Miss High-Collar""). [high colla(r)]"
ハイネック,A turtleneck style shirt or sweater [high neck]
ハイタッチ,High five [high touch]
ハッカー,refers specifically to a computer black hat [hacker]
ハッピーエンド,a happy ending [happy end]
ハモる,to harmonize (when singing) [harmo(ny) + -ru (Japanese verb ending)]
ハンバーグ,"Salisbury steak, (culinary term) [hamburg(er steak)]"
ハンチング帽,"hunting cap [hunting + 帽 (bō, hat, cap)]"
ハンドル,steering wheel or bicycle handlebars [handle]
ハンドルキーパー,designated driver [handle keeper]
ハンドルネーム,"handle, screen name [handle name]"
ハンカチ,handkerchief [han(d)kerchie(f)]
ハンスト,hunger strike [hun(ger) st(rike)]
ハウス,greenhouse or glasshouse [(vinyl) + house]
ヘアピンカーブ,hairpin turn [hairpin curve]
ヘルスメーター,"bathroom scales, scales [health meter]"
ヒステリー,loss of (self) control [Hysterie]
ヒップ,"buttocks, butt [Hips]"
ホルモン,hormone; also- intestines when served for yakiniku or hotpot [Hormon]
ホース,a hose [hoos]
ホッチキス,"stapler (a genericized trademark of the E. H. Hotchkiss company, also used in Korea) [Hotchkiss]"
ホットケーキ,"a pancake, (also called hotcake in English) [hotcake]"
ホーム,a railway platform [(plat)form]
ホワイトデー,"White Day, a month after Valentine's Day [White + Day]"
イエス,Jesus [Jesus]
イギリス,"English, England or the United Kingdom [inglês or inglés]"
イクラ,salmon roe [икра (ikra) (meaning 'caviar')]
イメージ,"an image, often used to indicate an artist's rendering or a graphic intended to provide a conceptual image of a situation; especially in advertising and design, a conceptual description intended to conjure a mental image of an abstract situation; (the public's) impression or perception of an entity. [image]"
インフレ,inflation [infla(tion)]
イン・キー,locking one's car keys inside of one's car [in key]
イラスト,an illustration [illust(ration)]
イヤー・オブ・ザ・コーチ,coach of the year (a title given to coaches by Asahi Shimbun and the Japan High School Baseball Federation from 2003-2005; corrected to the Japanese name 育成功労賞 from 2006; now known as the Training Achievement Award) [year of the coach]
ジャンパー,"jacket, jumper (Ski jumping athletes) [jumper]"
ジェンダーフリー,"gender equality, gender blind [gender free]"
ジェットコースター,roller coaster [jet coaster]
ジンギスカン,Mongolian style barbecue with cut lamb and vegetables [Genghis Khan]
ジーパン,jeans [jea(ns) + pan(ts)]
ジュース,"often used to refer to soda or energy drinks, regardless of whether they contain any juice [juice]"
カメラマン,photographer [cameraman]
カモン or カモーン,An invitation to join an activity or event. [come on]
カン or 缶,can (beverage can or tin can) [kan]
カンニング,cheating [cunning]
カッパ or 合羽,(rain) coat [capa (de chuva)]
カラン,faucet [kraan]
カラオケ,"karaoke [空 (kara, empty) + orche(stra)]"
カリウム or カリ or 加里,potassium [kalium]
カルキ,lime (mineral) [kalk]
カルピス,"Calpis (a milky soft drink) [cal(cium) + सर पिस (sar)pis (Sanskrit for ""good taste"")]"
カルタ,karuta (Japanese playing cards) [carta]
カルテ,(a patient's) medical record [Karte]
カシューナッツ,cashew [cashew nut]
カステラ,a kind of sponge cake popular at festivals and as a street food in Japan [(pão de) Castela (bread from Castile)]
カチューシャ,"Alice band; horseshoe-shaped hairband made of metal or plastic (often covered with cloth). However, in Russian it is called ""ободок"" (""obodók""). [Katyusha]"
