ก ไก่	chicken
ข ไข่	egg
ฃ ขวด	bottle (obsolete)
ค ควาย	buffalo
ฅ คน	person (obsolete)
ฆ ระฆัง	bell
ง งู	snake
จ จาน	plate
ฉ ฉิ่ง	cymbals
ช ช้าง	elephant
ซ โซ่	chain
ฌ เฌอ	tree
ญ หญิง	woman
ฎ ชฎา	headdress
ฏ ปฏัก	goad, javelin
ฐ ฐาน	pedestal
ฑ มณโฑ	Montho, character from Ramayana
ฒ ผู้เฒ่า	elder
ณ เณร	samanera
ด เด็ก	child
ต เต่า	turtle
ถ ถุง	sack
ท ทหาร	soldier
ธ ธง	flag
น หนู	mouse
บ ใบไม้	leaf
ป ปลา	fish
ผ ผึ้ง	bee
ฝ ฝา	lid
พ พาน	phan
ฟ ฟัน	teeth
ภ สำเภา	sailboat
ม ม้า	horse
ย ยักษ์	giant, yaksha
ร เรือ	boat
ล ลิง	monkey
ว แหวน	ring
ศ ศาลา	pavilion, sala
ษ ฤๅษี	hermit
ส เสือ	tiger
ห หีบ	chest
ฬ จุฬา	kite
อ อ่าง	basin
ฮ นกฮูก	owl
